keyword,category
"A. S. Sivakumar, pondicherry",Government Official
Abhishek Prasad,Government Official
"Adil Khan, IAS",IAS Officer
AiCTSL,Transport Body / STU
Ajit Debnath,Government Official
Alapan Bandyopadhyay,Government Official
"Amandeep Kaur, IAS",IAS Officer
"Amit Sharma, IAS, Secretary",IAS Officer
"Amrit Abhijat, I.A.S",IAS Officer
Anurag Jain,Government Official
Arvind Kumar Sharma,Government Official
"Ashima Jain, I.A.S",IAS Officer
Ashish Kundra,Government Official
Assam State Transport Corporation,Transport Body / STU
Aurangabad Smart City Limited (ASCL),Smart City
B. P. Umashankar,Government Official
B.D Singh,Government Official
Bibhuti Bhusan Jena,Government Official
Bihar State Road Transport Corporation,Transport Body / STU
Brig. (Dr.) B. D. Mishra (Retd.),Government Official
Brihanmumbai Electricity Supply and Transport Undertaking (BEST),Transport Body / STU
Bus transportation,Chalo / Bus Transport
chalo app,Chalo / Bus Transport
chalo bus,Chalo / Bus Transport
chalo card,Chalo / Bus Transport
Chalo Mobility,Chalo / Bus Transport
"Chimoy Prakash Phookan, IAS",IAS Officer
Chintamani Bhide,Government Official
CRUT,Transport Body / STU
D Thara MoHUA,Central Ministry
"Danish Ashraf, IAS",IAS Officer
Daya Shankar Singh,Government Official
Deepak Biru Jharkhand,Government Official
Deepak Shinde,Government Official
Delhi,Government Official
Devansh yadav,Government Official
Devendra Fadnavis,Government Official
"Dilraj Singh, IAS",IAS Officer
Dipanshu Kabra(I.P.S.),IPS Officer
Divyank Singh IAS,IAS Officer
"Dr. A. Muthamma, I.A.S.",IAS Officer
"Dr. Hasmukh Adhia, IAS",IAS Officer
Dr. Himanta Biswa sarma,Government Official
Dr. Krushna Chandra Mahapatra,Government Official
Dr. Lorrain Lalpekliana Chinzah,Government Official
Dr. N Thirumala Naik,Government Official
"Dr. V. Candavelou, IAS",IAS Officer
DTC,Transport Body / STU
"E. Kharmalki, I.A.S",IAS Officer
Eknath Shinde,Government Official
"G. Prasanna Ramaswamy, IAS",IAS Officer
General (Dr.) V.K. Singh,Government Official
Govind Singh Rajput,Government Official
Govind Singh Rajput Minister,Minister
Hamletson Dohling,Government Official
Hardeep Singh Puri,Government Official
Harsh Sanghavi,Government Official
Hemant Soren,Government Official
Hiren Joshi,Government Official
IAS,IAS Officer
India's Bus,Chalo / Bus Transport
Indian Politics,General Topic
Indian Transport,Government Official
Ishwarbhai Patel,Government Official
Jammu Smart City Limited JSCL,Smart City
Jitendra Patil,Government Official
K. B. Ganesh Kumar,Government Official
Kailash Gahlot,Government Official
Kathikala Srinivasa,Government Official
Keshab Mahanta,Government Official
Khashim Vashum,Government Official
Kripanand Jha,Government Official
KSRTC,Transport Body / STU
Laljit Singh Bhullar,Government Official
Lanka Dinakar,Government Official
M. B. Rajesh,Government Official
M. K. Das (I.A.S),IAS Officer
"M.R. Synrem, I.A.S",IAS Officer
Mandipalli Ramprasad Reddy,Government Official
"Manish Kumar Sinha, I.P.S.",IPS Officer
Mauvin Godinho,Government Official
Ministers of India,Minister
Mohammad Akbar,Government Official
Mohan Charan Majhi,Government Official
Mohan Yadav,Government Official
MoHUA,Central Ministry
Mool Chand Sharma,Government Official
MoRTH,Central Ministry
Mukesh Agnihotri,Government Official
Nagpur Municipal Corporation,Government Official
Naresh Kumar,Government Official
"Navdeep Singh Virk, IPS",IPS Officer
"Neeraj Semwal, IAS",IAS Officer
New appointments of minister in india,Minister
New appointments in Indian Government,General Appointment Topic
New appointments of IAS officers in India,IAS Officer
Nitin Jairam Gadkari,Government Official
"Nitin Kumar Yadav, IAS",IAS Officer
Nitin Nabin,Government Official
Nitish Kumar,Government Official
Omar Abdullah,Government Official
owais ahmad,Government Official
"P.S.Pradyumna, I.A.S",IAS Officer
Pankaj Kumar Jha,Government Official
"Pardeep Kumar, IAS",IAS Officer
Parimal Suklyabaidya,Government Official
Pinarayi Vijayan,Government Official
Pinipe Viswarup,Government Official
ponnam prabhakar,Government Official
Prabhakara Varma N,Government Official
"Praful Patel, Lakshadweep",Government Official
Pramod Pandurang Sawant,Government Official
Prince Dhawan,Government Official
Pu Vanlalhlana,Government Official
